Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Module File,"D:\thesis2\real 106 project\locust\docs\conf.py",D:\thesis2\real 106 project\locust\docs\conf.py,2,2,2,1,19,0,0,0,,,,,0,1,,0,,,,,101,25,22,19,19,55,2,0,20,19,17,2,2,2,1,2,2,2,1,,1,"2.50",2,2,2,1
Module File,"D:\thesis2\real 106 project\locust\examples\basic.py",D:\thesis2\real 106 project\locust\examples\basic.py,1,1,1,1,2,0,2,0,,,,,2,3,,3,,,,,25,5,15,12,8,5,0,0,14,11,8,0,0,0,0,1,1,1,1,,0,"0.33",3,3,3,3
Module File,"D:\thesis2\real 106 project\locust\examples\custom_xmlrpc_client\server.py",D:\thesis2\real 106 project\locust\examples\custom_xmlrpc_client\server.py,1,1,1,1,3,0,3,0,,,,,0,3,,2,,,,,18,3,15,7,9,0,1,0,15,7,9,1,1,1,1,1,1,1,1,,0,"0.00",3,3,3,3
Module File,"D:\thesis2\real 106 project\locust\examples\custom_xmlrpc_client\xmlrpc_locustfile.py",D:\thesis2\real 106 project\locust\examples\custom_xmlrpc_client\xmlrpc_locustfile.py,1,1,1,1,6,0,6,0,,,,,4,5,,5,,,,,54,11,32,23,18,11,0,0,30,20,18,0,0,0,0,2,2,2,1,,1,"0.34",6,6,6,5
Module File,"D:\thesis2\real 106 project\locust\examples\events.py",D:\thesis2\real 106 project\locust\examples\events.py,1,1,1,1,4,0,2,2,,,,,2,7,,6,,,,,68,13,27,17,15,28,1,0,25,14,16,1,1,1,1,1,1,1,1,,0,"1.04",7,7,7,7
File,"D:\thesis2\real 106 project\locust\locust\__init__.py",D:\thesis2\real 106 project\locust\locust\__init__.py,1,1,1,1,1,0,0,0,,,,,0,1,,0,,,,,4,1,3,3,1,0,1,0,3,3,1,1,1,1,1,1,1,1,1,,0,"0.00",1,1,1,1
Module File,"D:\thesis2\real 106 project\locust\locust\cache.py",D:\thesis2\real 106 project\locust\locust\cache.py,2,2,2,1,15,1,12,2,,,,,0,4,,4,,,,,31,5,20,7,15,6,0,0,20,7,15,0,0,0,0,3,3,5,1,,2,"0.30",8,8,10,4
Module File,"D:\thesis2\real 106 project\locust\locust\clients.py",D:\thesis2\real 106 project\locust\locust\clients.py,2,2,2,1,16,2,10,6,,,,,3,11,,10,,,,,247,44,117,37,93,87,1,0,91,33,68,1,1,1,1,5,5,9,4,,2,"0.74",25,25,32,14
Module File,"D:\thesis2\real 106 project\locust\locust\core.py",D:\thesis2\real 106 project\locust\locust\core.py,2,2,3,1,11,1,7,2,,,,,5,18,,17,,,,,355,76,165,68,131,114,1,0,167,65,134,1,1,1,1,15,15,16,11,,4,"0.69",53,53,60,32
Module File,"D:\thesis2\real 106 project\locust\locust\events.py",D:\thesis2\real 106 project\locust\locust\events.py,1,1,1,1,4,0,2,0,,,,,1,5,,4,,,,,127,33,23,18,18,71,1,0,34,18,29,1,1,1,1,2,2,2,1,,1,"3.09",6,6,6,5
Module File,"D:\thesis2\real 106 project\locust\locust\exception.py",D:\thesis2\real 106 project\locust\locust\exception.py,1,1,1,1,6,0,2,4,,,,,7,1,,1,,,,,36,8,13,9,5,15,0,0,13,9,5,0,0,0,0,1,1,1,1,,0,"1.15",1,1,1,1
Module File,"D:\thesis2\real 106 project\locust\locust\inspectlocust.py",D:\thesis2\real 106 project\locust\locust\inspectlocust.py,4,4,4,1,14,1,11,1,,,,,0,3,,3,,,,,50,9,37,18,31,4,0,0,34,18,28,0,0,0,0,9,9,9,1,,3,"0.11",13,13,13,3
Module File,"D:\thesis2\real 106 project\locust\locust\log.py",D:\thesis2\real 106 project\locust\locust\log.py,1,1,1,1,6,0,4,0,,,,,2,4,,3,,,,,47,9,28,16,20,10,1,0,28,16,20,1,1,1,1,2,2,2,1,,1,"0.36",5,5,5,4
Module File,"D:\thesis2\real 106 project\locust\locust\main.py",D:\thesis2\real 106 project\locust\locust\main.py,4,4,6,3,48,5,39,8,,,,,0,9,,8,,,,,450,56,327,54,301,67,2,0,171,53,145,2,2,2,1,20,20,27,14,,5,"0.20",42,42,56,30
File,"D:\thesis2\real 106 project\locust\locust\rpc\__init__.py",D:\thesis2\real 106 project\locust\locust\rpc\__init__.py,2,2,2,1,3,0,0,0,,,,,0,1,,0,,,,,9,2,7,4,3,0,2,0,7,4,3,2,2,2,1,2,2,2,1,,1,"0.00",2,2,2,1
Module File,"D:\thesis2\real 106 project\locust\locust\rpc\protocol.py",D:\thesis2\real 106 project\locust\locust\rpc\protocol.py,1,1,1,1,3,0,3,0,,,,,1,3,,3,,,,,15,3,12,10,6,0,0,0,11,9,6,0,0,0,0,1,1,1,1,,0,"0.00",3,3,3,3
Module File,"D:\thesis2\real 106 project\locust\locust\rpc\socketrpc.py",D:\thesis2\real 106 project\locust\locust\rpc\socketrpc.py,1,1,1,1,8,0,8,0,,,,,2,16,,15,,,,,121,21,100,47,76,0,1,0,99,44,75,1,1,1,1,5,5,6,3,,2,"0.00",30,30,31,18
Module File,"D:\thesis2\real 106 project\locust\locust\rpc\zmqrpc.py",D:\thesis2\real 106 project\locust\locust\rpc\zmqrpc.py,1,1,1,1,4,0,4,0,,,,,3,4,,4,,,,,31,9,22,16,13,0,0,0,22,16,13,0,0,0,0,1,1,1,1,,0,"0.00",4,4,4,4
Module File,"D:\thesis2\real 106 project\locust\locust\runners.py",D:\thesis2\real 106 project\locust\locust\runners.py,2,2,2,1,10,0,8,0,,,,,7,40,,39,,,,,411,65,319,136,252,27,1,0,291,127,232,1,1,1,1,12,12,12,4,,3,"0.08",88,88,95,49
Module File,"D:\thesis2\real 106 project\locust\locust\stats.py",D:\thesis2\real 106 project\locust\locust\stats.py,2,2,2,1,9,0,7,1,,,,,4,41,,40,,,,,503,86,353,122,293,67,1,0,295,113,244,1,1,1,1,6,6,7,3,,3,"0.19",82,82,91,47
File,"D:\thesis2\real 106 project\locust\locust\test\__init__.py",D:\thesis2\real 106 project\locust\locust\test\__init__.py,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"0.00",0,0,0,0
Module File,"D:\thesis2\real 106 project\locust\locust\test\test_client.py",D:\thesis2\real 106 project\locust\locust\test\test_client.py,1,1,1,1,9,0,7,1,,,,,1,6,,6,,,,,70,11,53,31,40,6,0,0,48,30,36,0,0,0,0,3,3,3,1,,2,"0.11",8,8,8,6
Module File,"D:\thesis2\real 106 project\locust\locust\test\test_locust_class.py",D:\thesis2\real 106 project\locust\locust\test\test_locust_class.py,1,1,1,1,8,0,7,0,,,,,51,67,,67,,,,,548,108,440,266,293,0,0,0,417,236,291,0,0,0,0,5,5,5,5,,2,"0.00",73,73,73,71
Module File,"D:\thesis2\real 106 project\locust\locust\test\test_main.py",D:\thesis2\real 106 project\locust\locust\test\test_main.py,1,1,1,1,22,6,16,0,,,,,5,1,,1,,,,,29,8,21,12,11,0,0,0,21,12,11,0,0,0,0,1,1,1,1,,0,"0.00",1,1,1,1
Module File,"D:\thesis2\real 106 project\locust\locust\test\test_runners.py",D:\thesis2\real 106 project\locust\locust\test\test_runners.py,1,1,1,1,11,2,9,0,,,,,15,20,,20,,,,,249,58,184,99,127,9,0,0,172,89,120,0,0,0,0,3,3,3,1,,2,"0.05",25,25,25,20
Module File,"D:\thesis2\real 106 project\locust\locust\test\test_stats.py",D:\thesis2\real 106 project\locust\locust\test\test_stats.py,1,1,1,1,8,0,7,0,,,,,16,27,,27,,,,,275,49,221,100,162,5,0,0,213,94,160,0,0,0,0,2,2,2,1,,1,"0.02",28,28,28,27
Module File,"D:\thesis2\real 106 project\locust\locust\test\test_taskratio.py",D:\thesis2\real 106 project\locust\locust\test\test_taskratio.py,1,1,1,1,9,1,8,0,,,,,7,7,,7,,,,,65,13,52,32,29,0,0,0,34,26,17,0,0,0,0,1,1,1,1,,0,"0.00",7,7,7,7
Module File,"D:\thesis2\real 106 project\locust\locust\test\test_web.py",D:\thesis2\real 106 project\locust\locust\test\test_web.py,1,1,1,1,8,1,6,0,,,,,1,9,,9,,,,,98,21,76,39,53,5,0,0,76,38,53,0,0,0,0,3,3,3,1,,1,"0.07",11,11,11,9
Module File,"D:\thesis2\real 106 project\locust\locust\test\testcases.py",D:\thesis2\real 106 project\locust\locust\test\testcases.py,1,1,1,1,4,0,4,0,,,,,2,25,,24,,,,,176,30,127,71,76,19,1,0,111,58,74,1,1,1,1,3,3,4,1,,2,"0.15",39,39,40,25
Module File,"D:\thesis2\real 106 project\locust\locust\web.py",D:\thesis2\real 106 project\locust\locust\web.py,1,1,1,1,13,1,12,0,,,,,0,12,,11,,,,,204,29,169,68,133,7,1,0,104,59,78,1,1,1,1,5,5,6,1,,2,"0.04",21,21,23,12
Module File,"D:\thesis2\real 106 project\locust\setup.py",D:\thesis2\real 106 project\locust\setup.py,1,1,1,1,11,0,3,0,,,,,1,4,,3,,,,,58,9,48,11,41,1,1,0,15,11,8,1,1,1,1,1,1,1,1,,0,"0.02",4,4,4,4
Unknown Class,"Locust",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Response",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"ServerProxy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Session",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"TaskSet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"TaskSet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"TestCase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"TestCase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"TestCase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"TestCase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Class,"basic.UserTasks",D:\thesis2\real 106 project\locust\examples\basic.py,1,1,1,1,2,0,2,0,1,0,0,0,,,,,1,0,1,1,8,1,5,4,2,2,,,4,3,2,,,,,1,1,1,1,1,0,"0.40",1,1,1,1
Function,"basic.UserTasks.page404(self)",D:\thesis2\real 106 project\locust\examples\basic.py,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,,,,,,0,"0.00",,,,
Class,"basic.WebsiteUser",D:\thesis2\real 106 project\locust\examples\basic.py,0,0,0,0,0,0,0,0,1,0,0,0,,,,,0,0,0,0,8,0,5,5,4,3,,,5,5,4,,,,,0,0,0,0,1,0,"0.60",0,0,0,0
Function,"basic.index(l)",D:\thesis2\real 106 project\locust\examples\basic.py,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,,,,,,0,"0.00",,,,
Function,"basic.stats(l)",D:\thesis2\real 106 project\locust\examples\basic.py,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,,,,,,0,"0.00",,,,
Class,"events.MyTaskSet",D:\thesis2\real 106 project\locust\examples\events.py,1,1,1,1,2,0,2,0,1,0,0,0,,,,,2,0,2,2,8,1,7,5,2,0,,,5,3,2,,,,,1,1,1,1,1,0,"0.00",2,2,2,2
Function,"events.MyTaskSet.index(l)",D:\thesis2\real 106 project\locust\examples\events.py,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,,,,,,0,"0.00",,,,
Function,"events.MyTaskSet.stats(l)",D:\thesis2\real 106 project\locust\examples\events.py,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,,,,,,0,"0.00",,,,
Class,"events.WebsiteUser",D:\thesis2\real 106 project\locust\examples\events.py,0,0,0,0,0,0,0,0,1,0,0,0,,,,,0,0,0,0,5,0,5,5,4,0,,,5,5,4,,,,,0,0,0,0,1,0,"0.00",0,0,0,0
Function,"events.on_report_to_master(client_id,data)",D:\thesis2\real 106 project\locust\examples\events.py,,,,,,,,,,,,,,,,,,,,,8,0,3,1,2,5,1,0,3,1,2,1,1,1,1,,,,,,0,"1.67",,,,
Function,"events.on_request_success(request_type,name,response_time,response_length)",D:\thesis2\real 106 project\locust\examples\events.py,,,,,,,,,,,,,,,,,,,,,5,0,2,1,1,3,1,0,2,1,1,1,1,1,1,,,,,,0,"1.50",,,,
Function,"events.on_slave_report(client_id,data)",D:\thesis2\real 106 project\locust\examples\events.py,,,,,,,,,,,,,,,,,,,,,7,0,2,1,1,5,1,0,2,1,1,1,1,1,1,,,,,,0,"2.50",,,,
Function,"events.total_content_length()",D:\thesis2\real 106 project\locust\examples\events.py,,,,,,,,,,,,,,,,,,,,,5,0,2,1,1,3,1,0,2,1,1,1,1,1,1,,,,,,0,"1.50",,,,
Package,"locust",,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,0,0,0,0,0,0,,,0,0,0,,,,,0,0,0,0,,0,,0,0,0,0
Package,"locust",,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,0,0,0,0,0,0,,,0,0,0,,,,,0,0,0,0,,0,,0,0,0,0
Package,"locust",,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,0,0,0,0,0,0,,,0,0,0,,,,,0,0,0,0,,0,,0,0,0,0
Package,"locust",,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,0,0,0,0,0,0,,,0,0,0,,,,,0,0,0,0,,0,,0,0,0,0
Package,"locust",,2,2,2,1,10,0,8,0,,,,,7,,1,39,,,,,411,65,319,136,252,27,,,291,127,232,,,,,12,12,12,4,,3,,88,88,95,49
Package,"locust",,0,0,0,0,0,0,0,0,,,,,0,,1,0,,,,,1,1,0,0,0,0,,,0,0,0,,,,,0,0,0,0,,0,,0,0,0,0
Package,"locust",,2,2,2,1,9,0,7,1,,,,,4,,1,40,,,,,503,86,353,122,293,67,,,295,113,244,,,,,6,6,7,3,,3,,82,82,91,47
Package,"locust",,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,0,0,0,0,0,0,,,0,0,0,,,,,0,0,0,0,,0,,0,0,0,0
